#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Heat Waves","Glass Animals",84,81,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland",2020-08-07,03:58,76,53,44,0,53,0,0,-7,B Major,4,2024-11-09,3USxtqRwSYz57Ewm6wWRMp,"Polydor Records",1B,GBUM72000433
2,"As It Was","Harry Styles",87,174,"pop","Pop","Harry's House",2022-05-20,02:47,52,73,34,0,66,0,30,-5,F#/G♭ Minor,4,2024-11-09,4Dvkj6JhhA12EX05fT7y2e,"Columbia",11A,USSM12200612
3,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",78,170,"australian hip hop, canadian pop, pop","Hip Hop, Pop","STAY (with Justin Bieber)",2021-07-09,02:21,59,76,4,0,48,0,10,-5,C♯/D♭ Major,4,2024-11-09,5HCyWlXZPP0y6Gqq8TgA20,"Columbia",3B,USSM12103949
4,"Easy On Me","Adele",77,142,"british soul, pop, pop soul, uk pop","R&B, Pop","Easy On Me",2021-10-14,03:44,60,37,58,0,13,0,10,-8,F Major,4,2024-11-09,0gplL1WMoJ6iYaPgMCL0gX,"Columbia",7B,USSM12105970
5,"Shivers","Ed Sheeran",41,141,"pop, singer-songwriter pop, uk pop","Pop","Shivers (Acoustic Version)",2021-10-01,03:27,79,86,28,0,82,0,0,-3,D Major,4,2024-11-09,7entdST7QGydL3yDhW03QN,"Atlantic Records UK",10B,GBAHS2100671
6,"First Class","Jack Harlow",72,107,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap","Hip Hop","Come Home The Kids Miss You",2022-05-06,02:53,90,58,11,0,33,10,10,-6,F Minor,4,2024-11-09,0wHFktze2PHC5jDt3B17DC,"Generation Now/Atlantic",4A,USAT22203024
7,"Big Energy","Latto",62,106,"trap queen","R&B","Big Energy",2021-09-24,02:53,94,81,5,0,81,10,30,-4,B Minor,4,2024-11-09,6Zu3aw7FfjAF9WA0fA81Oq,"Streamcut/RCA Records",10A,USRC12102454
8,"Ghost","Justin Bieber",83,154,"canadian pop, pop","Pop","Justice",2021-03-19,02:33,60,74,19,0,44,0,40,-6,D Major,4,2024-11-09,6I3mqTwhRpn34SLVafSH7G,"RBMG/Def Jam",10B,USUM72102635
9,"Super Gremlin","Kodak Black",65,73,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino","Hip Hop, Latin","Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies",2021-10-30,03:20,83,41,0,0,11,10,30,-7,D Major,4,2024-11-09,4A8cWXxKfIL3lAyUDzXbCF,"Atlantic/Sniper Gang",10B,USAT22107295
10,"Cold Heart - PNAU Remix","Elton John,Dua Lipa,PNAU",78,116,"glam rock, mellow gold, piano rock, rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Electronic, Pop","Cold Heart (PNAU Remix)",2021-08-13,03:22,80,80,3,0,94,0,10,-6,C♯/D♭ Major,4,2024-11-09,6zSpb8dQRaw0M1dK8PBwQz,"EMI",3B,GBUM72104705
11,"WAIT FOR U (feat. Drake & Tems)","Future,Drake,Tems",81,83,"atl hip hop, hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, pop rap, afro r&b, afrobeats, alte, nigerian pop","R&B, World/Traditional, Hip Hop, Pop","I NEVER LIKED YOU",2022-04-29,03:09,46,64,31,0,34,30,0,-4,C♯/D♭ Major,4,2024-11-09,59nOXPmaKlBfGMDeOVGrIK,"Epic/Freebandz",3B,USSM12203789
12,"About Damn Time","Lizzo",71,109,"escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","Special",2022-07-15,03:11,84,74,10,0,72,0,30,-6,A#/B♭ Minor,4,2024-11-09,6HMtHNpW6YPi1hrw9tgF8P,"Nice Life/Atlantic",3A,USAT22203704
13,"Bad Habits","Ed Sheeran",79,126,"pop, singer-songwriter pop, uk pop","Pop","=",2021-10-25,03:50,81,89,5,0,54,0,30,-4,B Minor,4,2024-11-09,3rmo8F54jFF8OgYsqTxm5d,"Atlantic Records UK",10A,GBAHS2100318
14,"THATS WHAT I WANT","Lil Nas X",73,88,"lgbtq+ hip hop","Hip Hop","MONTERO",2021-09-17,02:23,74,85,1,0,55,20,0,-5,C♯/D♭ Minor,4,2024-11-09,0e8nrvls4Qqv5Rfa2UhqmO,"Columbia",12A,USSM12105732
15,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",73,77,"modern rock, pop, rock, hip hop, pop rap, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Pop, Electronic, Classical","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,02:53,73,78,24,0,56,20,40,-4,B Minor,4,2024-11-09,1r9xUipOqoNwggBpENDsvJ,"KIDinaKORNER/Interscope Records",10A,USUM72119916
16,"INDUSTRY BABY","Lil Nas X,Jack Harlow",52,150,"lgbtq+ hip hop, deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap","Hip Hop","INDUSTRY BABY 2.0",2021-10-09,03:32,74,70,2,0,89,0,0,-7,D#/E♭ Minor,4,2024-11-09,5YtjgewpB55VaDbGw45uqB,"Columbia",2A,USSM12104539
17,"abcdefu","GAYLE",72,122,"alt z, modern alternative pop","Pop","abcdefu",2021-08-13,02:48,70,54,30,0,42,0,30,-6,E Major,4,2024-11-09,4fouWK6XVHhzl78KzQ1UjL,"Atlantic/Arthouse Records",12B,USAT22103652
18,"Need to Know","Doja Cat",74,130,"dance pop, pop","Pop","Planet Her",2021-06-25,03:30,66,61,30,0,19,0,0,-7,C♯/D♭ Major,4,2024-11-09,3Vi5XqYrmQgOYBajMWSvCi,"Kemosabe Records/RCA Records",3B,USRC12101120
19,"Wasted On You","Morgan Wallen",79,196,"contemporary country","Country","Dangerous: The Double Album",2021-01-08,02:58,51,66,37,0,25,0,10,-5,B Minor,3,2024-11-09,3cBsEDNhFI9E82vPj3kvi3,"Big Loud / Republic",10A,USUG12004194
20,"Me Porto Bonito","Bad Bunny,Chencho Corleone",81,92,"reggaeton, trap latino, urbano latino, reggaeton flow","Latin","Un Verano Sin Ti",2022-05-06,02:58,91,71,9,0,43,0,0,-5,C♯/D♭ Minor,4,2024-11-09,6Sq7ltF9Qa7SNFBsV5Cogx,"Rimas Entertainment LLC",12A,QM6MZ2214877
21,"Woman","Doja Cat",82,108,"dance pop, pop","Pop","Planet Her",2021-06-25,02:52,82,76,9,0,88,0,10,-4,F Minor,4,2024-11-09,6Uj1ctrBOjOas8xZXGqKk4,"Kemosabe Records/RCA Records",4A,USRC12101532
22,"Tití Me Preguntó","Bad Bunny",79,107,"reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti",2022-05-06,04:03,65,72,10,0,19,20,10,-5,F Minor,4,2024-11-09,1IHWl5LamUGEuP4ozKQSXZ,"Rimas Entertainment LLC",4A,QM6MZ2214878
