#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
23,"Running Up That Hill (A Deal With God)","Kate Bush",79,108,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter","Pop, Rock, Folk/Acoustic","Hounds Of Love",1985-09-16,04:58,63,55,72,0,19,0,0,-13,A#/B♭ Minor,4,2024-11-09,1PtQJZVZIdWIYdARpZRDFO,"Fish People",3A,GBCNR8500002
24,"We Don't Talk About Bruno","Carolina Gaitán,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",71,206,"modern salsa, movie tunes, salsa colombiana, hollywood","Easy listening, Latin","Encanto (Original Motion Picture Soundtrack)",2021-11-19,03:36,58,45,36,0,83,0,10,-9,C Minor,4,2024-11-09,52xJxFP6TqMuO4Yt0eOkMz,"Walt Disney Records",5A,USWD12112915
25,"Late Night Talking","Harry Styles",76,115,"pop","Pop","Harry's House",2022-05-20,02:57,71,73,30,0,90,0,10,-5,A#/B♭ Major,4,2024-11-09,1qEmFfgcLObUfQm0j1W2CK,"Columbia",6B,USSM12200610
26,"I Like You (A Happier Song) (with Doja Cat)","Post Malone,Doja Cat",75,101,"dfw rap, melodic rap, pop, rap, dance pop","Pop, Hip Hop","Twelve Carat Toothache",2022-06-03,03:12,73,67,12,0,47,0,10,-6,F Major,4,2024-11-09,0O6u0VJ46W86TxN9wgyqDj,"Mercury Records/Republic Records",7B,USUM72208023
27,"You Proof","Morgan Wallen",79,120,"contemporary country","Country","One Thing At A Time",2023-03-03,02:37,73,82,32,0,68,0,50,-5,A Major,4,2024-11-09,5W4kiM2cUYBJXKRudNyxjW,"Big Loud Records / Mercury Records / Republic Records",11B,USUG12203266
28,"Bad Habit","Steve Lacy",80,169,"afrofuturism","R&B","Gemini Rights",2022-07-15,03:52,69,49,61,0,70,0,40,-7,C♯/D♭ Major,4,2024-11-09,4k6Uh1HXdhtusDW5y8Gbvy,"L-M Records/RCA Records",3B,USRC12201440
29,"Sunroof","Nicky Youre,dazy",61,131,"singer-songwriter pop, ","Pop","Sunroof (Remixes)",2022-08-12,02:43,77,71,35,0,84,0,10,-5,A#/B♭ Major,4,2024-11-09,6WHSNH8PhDHbpYxg4I181o,"Columbia",6B,USQX92202129
30,"One Right Now (with The Weeknd)","Post Malone,The Weeknd",68,97,"dfw rap, melodic rap, pop, rap, canadian contemporary r&b, canadian pop","R&B, Pop, Hip Hop","One Right Now",2021-11-05,03:13,69,78,4,0,69,0,0,-5,C♯/D♭ Major,4,2024-11-09,00Blm7zeNqgYLPtW6zg8cj,"Republic Records",3B,USUM72120404
31,"good 4 u","Olivia Rodrigo",81,167,"pop","Pop","SOUR",2021-05-21,02:58,56,66,34,0,69,10,0,-5,A Major,4,2024-11-09,4ZtFanR9U6ndgddUvNcjcG,"Olivia Rodrigo PS",11B,USUG12101245
32,"Numb Little Bug","Em Beihold",67,85,"alt z, gen z singer-songwriter","Pop","Numb Little Bug",2022-01-28,02:49,74,53,33,0,64,0,20,-7,G#/A♭ Minor,4,2024-11-09,3o9kpgkIcffx0iSwxhuNI2,"Republic Records/Moon Projects, LLC.",1A,USUM72200626
33,"Jimmy Cooks (feat. 21 Savage)","Drake,21 Savage",79,166,"canadian hip hop, canadian pop, hip hop, pop rap, rap, atl hip hop","Hip Hop, Pop","Honestly, Nevermind",2022-06-17,03:38,53,67,0,0,37,10,0,-5,C Major,4,2024-11-09,3F5CgOj3wFlRv51JsHbxhe,"OVO",8B,USUG12204897
34,"'Til You Can't","Cody Johnson",71,160,"classic texas country, contemporary country, modern country pop","Country, Pop","Human The Double Album",2021-10-08,03:44,50,82,5,0,46,0,10,-5,C♯/D♭ Major,4,2024-11-09,4k3lPl8YTKuY8c1HelVnm3,"CoJo Music/Warner Music Nashville",3B,QMCQK1900137
35,"Fancy Like","Walker Hayes",69,80,"contemporary country, country, country road, modern country rock","Country, Rock","Country Stuff The Album",2022-01-21,02:41,65,77,11,0,86,0,30,-6,C♯/D♭ Major,4,2024-11-09,58UKC45GPNTflCN6nwCUeF,"Monument Records",3B,USQX92101534
36,"The Kind of Love We Make","Luke Combs",66,102,"contemporary country, country","Country","The Kind of Love We Make",2022-06-17,03:44,61,75,2,0,46,0,0,-4,C♯/D♭ Major,4,2024-11-09,28n8z9IQKyjMPxmvYMBqZa,"River House Artists/Columbia Nashville",3B,US6XF2200076
37,"I Ain't Worried","OneRepublic",79,140,"piano rock, pop","Rock, Pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,02:28,70,80,8,0,83,0,0,-6,C Major,4,2024-11-09,4h9wh7iOZ0GGn8QVp4RAOB,"Interscope Records",8B,USUM72206227
38,"BREAK MY SOUL","Beyoncé",65,115,"pop, r&b","Pop, R&B","RENAISSANCE",2022-07-29,04:38,69,89,6,0,86,0,20,-5,C♯/D♭ Minor,4,2024-11-09,5pyoxDZ1PX0KxBxiRVxA4U,"Parkwood Entertainment/Columbia",12A,USSM12206234
39,"Something in the Orange","Zach Bryan",85,175,"classic oklahoma country","Country","Something in the Orange",2022-04-22,03:48,37,19,56,0,15,0,10,-12,E Minor,3,2024-11-09,3WMj8moIAXJhHsyLaqIIHI,"Warner Records",9A,USWB12201213
40,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd,Ariana Grande",75,118,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Save Your Tears (Remix)",2021-04-23,03:11,65,83,2,0,59,0,0,-5,C Major,4,2024-11-09,37BZB0z9T8Xu7U3e65qxFy,"Republic Records",8B,USUG12101839
41,"Smokin Out The Window","Bruno Mars,Anderson .Paak,Silk Sonic",63,82,"dance pop, pop, escape room, hip hop, indie soul, neo soul","Pop, Hip Hop, R&B","An Evening With Silk Sonic",2021-11-12,03:17,63,62,6,0,85,0,30,-9,D Major,4,2024-11-09,1oERlssLrpssCAY6Yqqs6c,"Aftermath Entertainment/Atlantic",10B,USAT22105952
42,"Levitating","Dua Lipa",74,103,"dance pop, pop, uk pop","Pop","Future Nostalgia",2020-03-27,03:23,70,88,6,0,91,0,20,-2,F#/G♭ Minor,4,2024-11-09,39LLxExYz6ewLAcYrzQQyP,"Warner Records",11A,GBAHT1901299
43,"In A Minute","Lil Baby",59,84,"atl hip hop, atl trap, rap, trap","Hip Hop","In A Minute",2022-04-07,03:20,64,61,3,0,14,30,10,-6,E Minor,4,2024-11-09,3ihIZrJreMJPjQdNLrEXnP,"Quality Control Music/Motown Records",9A,USUG12200033
44,"Moscow Mule","Bad Bunny",79,100,"reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti",2022-05-06,04:05,80,67,29,0,29,0,10,-5,F Minor,4,2024-11-09,6Xom58OOXk2SoU711L2IXO,"Rimas Entertainment LLC",4A,QM6MZ2214875
45,"You Right","Doja Cat,The Weeknd",74,129,"dance pop, pop, canadian contemporary r&b, canadian pop","R&B, Pop","Planet Her",2021-06-25,03:06,83,62,2,0,44,0,0,-6,G#/A♭ Major,4,2024-11-09,0k4d5YPDr1r7FX77VdqWez,"Kemosabe Records/RCA Records",4B,USRC12100544
46,"She Had Me At Heads Carolina","Cole Swindell",71,135,"contemporary country, country, country road, modern country rock","Country, Rock","Stereotype",2022-04-08,03:26,61,91,12,0,72,0,30,-3,G#/A♭ Major,4,2024-11-09,200x8ONbPfFzByUr3fVz46,"Warner Music Nashville",4B,USWB12200181
47,"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",71,160,"dance pop, pop","Pop","Vegas (From the Original Motion Picture Soundtrack ELVIS)",2022-05-06,03:02,80,60,8,0,74,20,10,-8,G#/A♭ Minor,4,2024-11-09,0hquQWY3xvYqN4qtiquniF,"Kemosabe Records/RCA Records",1A,USRC12201441
48,"pushin P (feat. Young Thug)","Gunna,Future,Young Thug",67,78,"atl hip hop, melodic rap, rap, trap, hip hop, southern hip hop, atl trap, gangster rap","Hip Hop","DS4EVER",2022-01-13,02:16,77,42,1,1,49,10,10,-5,C♯/D♭ Minor,1,2024-11-09,3XOalgusokruzA5ZBA2Qcb,"300 Entertainment",12A,QMCE32200039
49,"Buy Dirt","Jordan Davis,Luke Bryan",78,178,"contemporary country, country, country road, modern country rock","Country, Rock","Buy Dirt",2021-05-21,02:47,59,56,64,0,44,0,0,-7,E Major,4,2024-11-09,69AIpwGNLxr4qS1X5ynx60,"MCA Nashville",12B,USUM72104058
50,"I Hate U","SZA",67,107,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS",2022-12-09,02:53,53,42,51,0,38,10,10,-9,G Minor,5,2024-11-09,2aJnyNu4PQxQ2lyj5boiMG,"Top Dawg Entertainment/RCA Records",6A,USRC12103605
51,"Boyfriend","Dove Cameron",71,180,"pop","Pop","Boyfriend",2022-02-11,02:33,35,61,23,0,23,0,10,-7,G Minor,3,2024-11-09,59CfNbkERJ3NoTXDvoURjj,"Disruptor Records/Columbia",6A,USQX92200693
52,"Glimpse of Us","Joji",77,170,"viral pop","Pop","Glimpse of Us",2022-06-10,03:53,44,32,89,0,27,0,10,-9,G#/A♭ Major,3,2024-11-09,6xGruZOHLs39ZbVccQTuPZ,"88rising Music/Warner Records",4B,USWB12201789
53,"Surface Pressure","Jessica Darrow",68,180,"movie tunes","Easy listening","Encanto (Original Motion Picture Soundtrack)",2021-11-19,03:22,65,58,2,0,37,30,0,-8,D Major,4,2024-11-09,760jhRscwGbIIe1m1IIQpU,"Walt Disney Records",10B,USWD12112914
54,"Fall In Love","Bailey Zimmerman",73,136,"contemporary country, modern country pop","Country, Pop","Religiously. The Album.",2023-01-11,03:52,52,64,45,0,40,0,20,-6,A Major,4,2024-11-09,0rCFRyEy4WXjRXNpO80Dzs,"Warner Music Nashville/Elektra",11B,USWB12200122
55,"love nwantiti (ah ah ah)","CKay",74,93,"afro r&b, afrobeats","R&B","CKay The First",2019-08-30,02:25,73,74,37,0,53,0,10,-4,G#/A♭ Major,4,2024-11-09,2Xr1dTzJee307rmrkt8c0g,"Chocolate City Music",4B,QMEU31910213
56,"Super Freaky Girl","Nicki Minaj",67,133,"hip pop, pop, queens hip hop, rap","Pop, Hip Hop","Super Freaky Girl",2022-08-12,02:50,95,89,6,0,91,20,30,-3,D Major,4,2024-11-09,4C6Uex2ILwJi9sZXRdmqXp,"Republic Records",10B,USUM72215262
57,"Hrs & Hrs","Muni Long",71,134,"indie r&b","R&B","Public Displays Of Affection: The Album",2022-09-23,03:24,52,52,61,0,66,10,10,-5,F#/G♭ Major,3,2024-11-09,3ncmoWTwJgx63LwMTyBCXf,"Supergiant Records, LLC / Def Jam Recordings",2B,QZAKB2136210
58,"Sand In My Boots","Morgan Wallen",72,70,"contemporary country","Country","Dangerous: The Double Album",2021-01-08,03:22,40,54,59,0,41,0,10,-7,D#/E♭ Major,4,2024-11-09,0uRrG2jRR5tuifsYIJHEao,"Big Loud / Republic",5B,USUG12004193
59,"MAMIII","Becky G,KAROL G",69,94,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino, reggaeton colombiano","Pop, Latin","MAMIII",2022-02-10,03:46,84,70,9,0,90,0,10,-4,E Minor,4,2024-11-09,1ri9ZUkBJVFUdgwzCnfcYs,"Kemosabe Records/RCA Records",9A,USRC12200425
60,"Knife Talk (with 21 Savage ft. Project Pat)","Drake,21 Savage,Project Pat",74,146,"canadian hip hop, canadian pop, hip hop, pop rap, rap, atl hip hop, crunk, dirty south rap, gangster rap, memphis hip hop, trap","Hip Hop, Pop","Certified Lover Boy",2021-09-03,04:02,85,42,6,0,15,30,0,-10,F Minor,4,2024-11-09,2BcMwX1MPV6ZHP4tUT9uq6,"OVO",4A,USUG12104409
61,"AA","Walker Hayes",52,104,"contemporary country, country, country road, modern country rock","Country, Rock","AA",2021-11-19,03:09,64,75,0,0,75,0,30,-6,E Major,4,2024-11-09,77oKig47u34qCCFWKMfu1e,"Monument Records",12B,USQX92104965
62,"Sweetest Pie","Megan Thee Stallion,Dua Lipa",65,124,"houston rap, pop, rap, trap queen, dance pop, uk pop","Pop, Hip Hop, R&B","Sweetest Pie",2022-03-11,03:21,81,63,17,0,68,20,10,-7,G Major,4,2024-11-09,7mFj0LlWtEJaEigguaWqYh,"300 Entertainment",9B,QMCE32200232
63,"PROVENZA","KAROL G",80,111,"reggaeton, reggaeton colombiano, urbano latino","Latin","MAÑANA SERÁ BONITO",2023-02-24,03:27,86,50,61,1,57,0,10,-8,C♯/D♭ Major,4,2024-11-09,3HqcNJdZ2seoGxhn0wVNDK,"BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",3B,USUM72205906
64,"Essence (feat. Justin Bieber & Tems)","Wizkid,Justin Bieber,Tems",59,104,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop, canadian pop, pop, afro r&b, alte","R&B, Pop, World/Traditional, Hip Hop","Essence (feat. Justin Bieber & Tems)",2021-08-13,04:23,84,69,2,0,58,10,10,-6,C Major,4,2024-11-09,1mSdbey7RstGLY2udgXv74,"Starboy/RCA Records",8B,USRC12102450
65,"All I Want for Christmas Is You","Mariah Carey",80,150,"dance pop, pop, urban contemporary","Pop, Hip Hop","Merry Christmas",1994-10-28,04:01,34,63,16,0,35,0,0,-7,G Major,4,2024-11-09,0bYg9bo50gSsH3LtXe2SQn,"Columbia",9B,USSM19400325
66,"Bam Bam (feat. Ed Sheeran)","Camila Cabello,Ed Sheeran",70,95,"dance pop, pop, singer-songwriter pop, uk pop","Pop","Bam Bam (feat. Ed Sheeran)",2022-03-04,03:26,76,70,18,0,96,0,30,-6,G#/A♭ Major,4,2024-11-09,0QBzMgT7NIeoCYy3sJCof1,"Epic",4B,USSM12200047
67,"5 Foot 9","Tyler Hubbard",64,106,"contemporary country, modern country pop","Country, Pop","5 Foot 9",2022-05-20,03:09,60,80,15,0,53,0,10,-6,F Major,4,2024-11-09,6AqwH2Y9FJwhUE2dCSkw1u,"EMI Nashville",7B,USUM72206482
68,"Get Into It (Yuh)","Doja Cat",72,92,"dance pop, pop","Pop","Planet Her",2021-06-25,02:18,91,66,32,0,79,10,0,-6,G#/A♭ Minor,4,2024-11-09,0W6I02J9xcqK8MtSeosEXb,"Kemosabe Records/RCA Records",1A,USRC12101535
69,"Efecto","Bad Bunny",79,98,"reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti",2022-05-06,03:33,80,48,14,0,23,0,0,-9,G Minor,4,2024-11-09,5Eax0qFko2dh7Rl2lYs3bx,"Rimas Entertainment LLC",6A,QM6MZ2214884
70,"Rock and A Hard Place","Bailey Zimmerman",76,122,"contemporary country, modern country pop","Country, Pop","Religiously. The Album.",2023-01-11,03:27,58,57,58,0,39,0,10,-7,C♯/D♭ Major,3,2024-11-09,1TE8AAk9koG0UJco6ZAUfx,"Warner Music Nashville/Elektra",3B,USWB12201797
71,"Doin' This","Luke Combs",60,115,"contemporary country, country","Country","Growin' Up",2022-06-24,04:14,59,55,17,0,39,0,10,-6,C♯/D♭ Major,4,2024-11-09,6TpyujRefwsflWFXbmjVpj,"River House Artists/Columbia Nashville",3B,US6XF2100159
72,"Oh My God","Adele",72,88,"british soul, pop, pop soul, uk pop","R&B, Pop","30",2021-11-19,03:45,53,73,9,0,55,0,0,-4,C♯/D♭ Major,4,2024-11-09,3Kkjo3cT83cw09VJyrLNwX,"Columbia",3B,USSM12105973
73,"Better Days (NEIKED x Mae Muller x Polo G)","NEIKED,Mae Muller,Polo G",68,110,"scandipop, uk contemporary r&b, uk pop, chicago rap, rap","Hip Hop, Pop, R&B","Better Days (NEIKED x Mae Muller x Polo G)",2021-09-24,02:40,72,67,0,0,70,0,0,-5,C Minor,4,2024-11-09,6f5ExP43esnvdKPddwKXJH,"Capitol Records UK / EMI",5A,GBUM72106057
74,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",71,95,"modern alternative pop, afrofuturism, pop, post-teen pop, pov: indie, bedroom soul","R&B, Pop","THE ANXIETY",2020-03-13,02:42,77,47,2,0,40,0,0,-8,D Major,4,2024-11-09,07MDkzWARZaLEdKxo6yArG,"MSFTSMusic / Roc Nation Records, LLC",10B,QMJMT2002693
75,"Fingers Crossed","Lauren Spencer Smith",70,109,"alt z, gen z singer-songwriter, singer-songwriter pop","Pop","Mirror",2023-07-14,02:55,56,47,62,0,44,0,30,-7,F Major,4,2024-11-09,4wH7ZoqgETaACS9BlUkvuY,"Three Name Productions, Inc./ Island Records & Republic Records",7B,TCAFY2118876
76,"All Too Well (Taylor's Version)","Taylor Swift",70,186,"pop","Pop","Red (Taylor's Version)",2021-11-12,05:29,44,53,2,0,13,0,20,-8,C Major,4,2024-11-09,3nsfB1vus2qaloUdcBZvDu,"Taylor Swift",8B,USUG12103665
77,"Party","Bad Bunny,Rauw Alejandro",73,97,"reggaeton, trap latino, urbano latino, puerto rican pop","Pop, Latin","Un Verano Sin Ti",2022-05-06,03:47,83,80,2,0,47,0,20,-5,A Major,4,2024-11-09,4tYFy8ALRjIZvnvSLw5lxN,"Rimas Entertainment LLC",11B,QM6MZ2214885
78,"Después de la Playa","Bad Bunny",71,78,"reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti",2022-05-06,03:50,56,90,36,0,61,30,10,-3,F Major,4,2024-11-09,1dm6z1fWB0cErMszU25dy2,"Rimas Entertainment LLC",7B,QM6MZ2214876
79,"You Should Probably Leave","Chris Stapleton",80,184,"contemporary country, outlaw country","Country","Starting Over",2020-11-13,03:33,60,48,27,0,55,0,10,-8,A Major,4,2024-11-09,2UikqkwBv7aIvlixeVXHWt,"Mercury Nashville",11B,USUM72013814
80,"Rockin' Around The Christmas Tree","Brenda Lee",76,67,"adult standards, easy listening, lounge, rockabilly","Easy listening, Rock","Merry Christmas From Brenda Lee",1964-10-19,02:06,60,47,62,0,88,0,50,-9,G#/A♭ Major,4,2024-11-09,2EjXfH91m7f8HiJN1yQg97,"MCA Nashville",4B,USMC15848998
81,"Broadway Girls (feat. Morgan Wallen)","Lil Durk,Morgan Wallen",67,75,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap, contemporary country","Hip Hop, Country","Broadway Girls (feat. Morgan Wallen)",2021-12-17,03:05,66,75,4,0,54,0,30,-4,A#/B♭ Major,4,2024-11-09,3DZ8dbKg4OTSSqGARvecYd,"Alamo",6B,USQX92105926
82,"Take My Name","Parmalee",62,164,"contemporary country, country road, modern country rock, modern uplift","Country, Rock","For You",2021-07-30,02:37,56,66,22,0,57,0,10,-4,G Major,4,2024-11-09,7g0Zfd5J6Hzx9M2fRUMuba,"Stoney Creek Records",9B,QMRSZ2101303
83,"What Happened To Virgil (feat. Gunna)","Lil Durk,Gunna",62,140,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, trap, atl hip hop, melodic rap","Hip Hop","7220",2022-03-11,03:01,80,53,7,0,19,20,10,-9,F#/G♭ Minor,4,2024-11-09,7ohROa13QK43JBRqfCmz4P,"Alamo",11A,USQX92200954
84,"PUFFIN ON ZOOTIEZ","Future",77,125,"atl hip hop, hip hop, rap, southern hip hop, trap","Hip Hop","I NEVER LIKED YOU",2022-04-29,02:52,88,66,6,0,28,30,10,-6,G#/A♭ Major,4,2024-11-09,1qMMYpVatbRITKCfq1gasi,"Epic/Freebandz",4B,USSM12203787
85,"Like I Love Country Music","Kane Brown",59,125,"black americana, contemporary country, country, country road","Country","Like I Love Country Music",2022-05-06,03:54,54,82,0,0,70,0,0,-6,G#/A♭ Major,4,2024-11-09,3j1xkzTW8owIphkWV51V9s,"RCA Records Label Nashville",4B,USRN12200036
86,"Jingle Bell Rock","Bobby Helms",72,120,"","","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",1957-12-02,02:10,75,42,64,0,81,0,0,-8,D Major,4,2024-11-09,7vQbuQcyTflfCIOu3Uzzya,"Geffen",10B,USMC15746480
87,"Ojitos Lindos","Bad Bunny,Bomba Estéreo",80,80,"reggaeton, trap latino, urbano latino, cumbia, latin alternative, latin rock, pop electronico, tropical alternativo","Latin, Rock","Un Verano Sin Ti",2022-05-06,04:18,65,69,8,0,27,0,50,-6,D#/E♭ Minor,4,2024-11-09,3k3NWokhRRkEPhCzPmV8TW,"Rimas Entertainment LLC",2A,QM6MZ2214888
88,"Trouble with a Heartbreak","Jason Aldean",55,136,"contemporary country, country, country road, modern country rock","Country, Rock","GEORGIA",2022-04-22,03:16,58,80,23,0,60,0,10,-5,F Major,4,2024-11-09,0P9c1rdCeGAkCeS425KbI5,"Broken Bow Records",7B,QMRSZ2102055
