#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
59,"One Man Band","Old Dominion",77,76,"contemporary country, country, country road, modern country rock","Country, Rock","Old Dominion",2019-10-25,03:06,71,36,68,0,48,0,10,-8,F#/G♭ Major,4,2024-11-09,7cA3PnUQDlUyBBwpRozQeo,"RCA Records Label Nashville",2B,USRN11800147
60,"Got What I Got","Jason Aldean",62,160,"contemporary country, country, country road, modern country rock","Country, Rock","9",2019-11-22,02:58,51,58,62,0,30,0,50,-7,D#/E♭ Minor,3,2024-11-09,4TCc369aRPRubv1m8R1TBG,"Broken Bow Records",2A,QMRSZ1901461
61,"Sunday Best","Surfaces",73,112,"bedroom soul","R&B","Where the Light Is",2019-01-06,02:38,87,56,14,0,74,0,0,-6,F Major,4,2024-11-09,1qYKWcEOrh2tM8PlgIm8K1,"Surfaces Music / TenThousand Projects, LLC",7B,TCAEA1802695
62,"Godzilla (feat. Juice WRLD)","Eminem,Juice WRLD",80,166,"detroit hip hop, hip hop, rap, chicago rap, melodic rap","Hip Hop","Music To Be Murdered By",2020-01-17,03:30,81,75,14,0,83,30,20,-5,A#/B♭ Minor,4,2024-11-09,7FIWs0pqAYbP91WWM0vlTQ,"Shady/Aftermath/Interscope Records",3A,USUM72000788
63,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD,YoungBoy Never Broke Again",65,180,"chicago rap, melodic rap, rap, baton rouge rap","Hip Hop","Bandit (with YoungBoy Never Broke Again)",2019-10-04,03:09,47,63,7,0,43,30,10,-6,F Minor,4,2024-11-09,6Gg1gjgKi2AK4e0qzsR7sd,"Grade A Productions/Interscope Records",4A,USUG11903492
64,"Party Girl","StaySolidRocky",69,130,"melodic rap","Hip Hop","Party Girl",2020-04-21,02:27,73,43,75,0,63,0,10,-10,F#/G♭ Minor,4,2024-11-09,5RqR4ZCCKJDcBLIn4sih9l,"Columbia",11A,USSM12002247
65,"Die From A Broken Heart","Maddie & Tae",57,76,"contemporary country, country, country road","Country","Die From A Broken Heart",2018-10-19,03:08,61,51,36,0,41,0,20,-7,E Major,4,2024-11-09,1kFpL1itkwkdhO6kcmNJra,"Mercury Nashville",12B,USUM71805387
66,"POPSTAR (feat. Drake)","DJ Khaled,Drake",65,163,"hip hop, miami hip hop, pop rap, rap, canadian hip hop, canadian pop","Hip Hop, Pop","POPSTAR (feat. Drake)",2020-07-17,03:20,80,56,6,0,45,20,10,-5,F Minor,4,2024-11-09,6EDO9iiTtwNv6waLwa1UUq,"OVO/We The Best/Epic",4A,USSM12004501
67,"All I Want for Christmas Is You","Mariah Carey",80,150,"dance pop, pop, urban contemporary","Pop, Hip Hop","Merry Christmas",1994-10-28,04:01,34,63,16,0,35,0,0,-7,G Major,4,2024-11-09,0bYg9bo50gSsH3LtXe2SQn,"Columbia",9B,USSM19400325
68,"One Of Them Girls","Lee Brice",62,96,"contemporary country, country, country road, modern country rock","Country, Rock","One Of Them Girls",2020-04-10,03:08,64,79,29,0,80,0,10,-6,E Major,4,2024-11-09,14GwnOeC9qYEKEA6uOZepa,"Curb Records",12B,USCRB1900135
69,"Hard To Forget","Sam Hunt",59,130,"contemporary country, country, country pop, modern country rock","Country, Pop, Rock","SOUTHSIDE",2020-04-03,03:24,69,69,23,0,66,0,50,-6,E Major,4,2024-11-09,10xuH52YSXHWFwCaF1fsDd,"MCA Nashville",12B,USUM72002308
70,"One Margarita","Luke Bryan",57,90,"contemporary country, country, country road, modern country rock","Country, Rock","One Margarita",2020-03-13,03:13,64,84,10,0,74,0,10,-5,A Major,4,2024-11-09,6NhS5LwYbJ6xD7BGvlWRJO,"Capitol Records Nashville",11B,USUG12000522
71,"Panini","Lil Nas X",64,154,"lgbtq+ hip hop","Hip Hop","Panini",2019-09-13,01:54,70,59,34,0,48,0,10,-6,F Minor,4,2024-11-09,1000nHvUdawXuUHgBod4Wv,"Columbia",4A,USSM11903948
72,"Hot (feat. Gunna)","Young Thug,Gunna",65,112,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap","Hip Hop","So Much Fun",2019-08-16,03:13,86,65,6,0,56,20,0,-8,C Minor,4,2024-11-09,5Z8HZM6iQMhhqyPcCGY5g9,"300 Entertainment/Atl",5A,USAT21904711
73,"I Hope You’re Happy Now","Carly Pearce,Lee Brice",65,118,"contemporary country, country, country road, modern country rock","Country, Rock","Carly Pearce",2020-02-14,03:18,59,81,17,0,31,0,10,-5,A#/B♭ Major,4,2024-11-09,0Al3wN3keprGTSgG8NBwjr,"Big Machine Records, LLC",6B,USCJY1944081
74,"Emotionally Scarred","Lil Baby",67,88,"atl hip hop, atl trap, rap, trap","Hip Hop","My Turn",2020-02-28,03:17,59,64,3,0,27,10,30,-4,F#/G♭ Minor,4,2024-11-09,7ge7BHazYbVKi8qyZUX1Bm,"Quality Control/Motown Records",11A,USUG12000034
75,"Suicidal (feat. Juice WRLD) - Remix","YNW Melly,Juice WRLD",70,140,"melodic rap, rap, chicago rap","Hip Hop","Suicidal (Remix) [feat. Juice WRLD]",2020-03-13,03:45,66,44,47,0,27,0,10,-5,A Minor,4,2024-11-09,4S2uhQE8L9V6p7rj7SiauJ,"P2020",8A,QMCE32000089
76,"The Bigger Picture","Lil Baby",59,96,"atl hip hop, atl trap, rap, trap","Hip Hop","The Bigger Picture",2020-06-12,04:12,59,62,1,0,15,30,20,-6,C♯/D♭ Major,3,2024-11-09,44gRhRi2OhEf7moAUj6MD1,"Quality Control Music/Motown Records",3B,USUG12001660
77,"Only Human","Jonas Brothers",68,94,"boy band, pop","Pop","Happiness Begins",2019-06-07,03:03,80,50,11,0,87,0,0,-6,C Major,4,2024-11-09,0DiDStADDVh3SvAsoJAFMk,"Jonas Brothers Recording",8B,USUG11901281
78,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke,50 Cent,Roddy Ricch",67,100,"brooklyn drill, hip hop, rap, east coast hip hop, gangster rap, pop rap, queens hip hop, melodic rap, trap","Hip Hop","Shoot For The Stars Aim For The Moon",2020-07-03,03:21,49,62,2,0,29,10,20,-6,C♯/D♭ Major,4,2024-11-09,1H7KnK26kc1YyellpbINEn,"Victor Victor Worldwide",3B,USUM72013367
79,"Sum 2 Prove","Lil Baby",62,124,"atl hip hop, atl trap, rap, trap","Hip Hop","Sum 2 Prove",2020-01-10,03:25,82,55,2,0,42,30,10,-8,E Minor,4,2024-11-09,2u3EyuCqqV31woqGvO9LBz,"Quality Control/Motown Records",9A,USUG11902886
80,"Stuck with U (with Justin Bieber)","Ariana Grande,Justin Bieber",77,179,"pop, canadian pop","Pop","Stuck with U",2020-05-08,03:48,60,45,22,0,54,0,30,-7,G#/A♭ Major,3,2024-11-09,4HBZA5flZLE435QTztThqH,"Ariana Grande & Justin Bieber "Stuck With U"- Charity",4B,USUM72009644
81,"Mood Swings (feat. Lil Tjay)","Pop Smoke,Lil Tjay",74,180,"brooklyn drill, hip hop, rap, melodic rap, nyc rap","Hip Hop","Shoot For The Stars Aim For The Moon",2020-07-03,03:33,48,60,49,0,27,30,0,-6,A#/B♭ Minor,4,2024-11-09,5rZlwNFl01HqLWBQGryKSm,"Victor Victor Worldwide",3A,USUM72013632
82,"You should be sad","Halsey",66,111,"electropop, etherpop, indie poptimism, pop","Pop","Manic",2020-01-17,03:25,59,59,14,0,32,0,10,-6,D Major,4,2024-11-09,7lidXGPXPYLNThITAOTlkK,"Capitol Records",10B,USUM71918343
83,"Dior","Pop Smoke",75,142,"brooklyn drill, hip hop, rap","Hip Hop","Meet The Woo",2019-07-26,03:36,55,81,21,0,65,30,40,-6,G Major,4,2024-11-09,79s5XnCN4TJKTVMSmOx8Ep,"Victor Victor Worldwide/Republic Records",9B,USUM71914275
84,"Supalonely","BENEE,Gus Dapperton",64,129,"alt z, nz pop, bedroom pop, indie poptimism, pov: indie","Pop","STELLA & STEVE",2019-11-15,03:43,86,63,30,0,82,0,10,-5,G Major,4,2024-11-09,4nK5YrxbMGZstTLbvj6Gxw,"Republic Records",9B,USUM71922597
85,"Even Though I'm Leaving","Luke Combs",65,78,"contemporary country, country","Country","What You See Is What You Get",2019-11-08,03:45,55,76,23,0,62,0,30,-6,D Major,4,2024-11-09,5Fhe63YOMZsGdB3CgCDuBi,"River House Artists/Columbia Nashville",10B,US6XF1700254
86,"THE SCOTTS","THE SCOTTS,Travis Scott,Kid Cudi",71,130,"rap, slap house, hip hop, ohio hip hop, pop rap","Hip Hop, Electronic","THE SCOTTS",2020-04-24,02:45,72,54,23,0,28,0,10,-8,C Minor,4,2024-11-09,39Yp9wwQiSRIDOvrVg7mbk,"Cactus Jack / Epic",5A,USSM12002217
87,"Juicy","Doja Cat,Tyga",65,170,"dance pop, pop, hip hop, pop rap, rap, southern hip hop, trap","Pop, Hip Hop","Hot Pink",2019-11-07,03:23,79,65,10,0,48,0,0,-3,C Major,4,2024-11-09,7f5trao56t7sB7f14QDTmp,"Kemosabe Records/RCA Records",8B,USRC11901510
88,"Be Like That - feat. Swae Lee & Khalid","Kane Brown,Swae Lee,Khalid",65,87,"black americana, contemporary country, country, country road, melodic rap, rap, trap, pop, pop r&b","Country, Hip Hop, Pop, R&B","Be Like That (feat. Swae Lee & Khalid)",2020-07-10,03:11,73,63,5,0,32,0,10,-8,G Major,4,2024-11-09,5f1joOtoMeyppIcJGZQvqJ,"RCA Records Label Nashville",9B,USRN11900133
89,"Homesick","Kane Brown",59,97,"black americana, contemporary country, country, country road","Country","Experiment Extended",2019-11-01,03:25,70,50,46,0,41,0,20,-9,G#/A♭ Major,4,2024-11-09,30RZAuEkYeDXvy46Iv6l7E,"RCA Records Label Nashville",4B,USRN11800032
90,"Rags2Riches (feat. ATR Son Son)","Rod Wave,ATR Son Son",51,118,"florida rap, ","Hip Hop","Pray 4 Love",2020-04-03,02:47,90,26,28,0,23,10,10,-18,F Minor,4,2024-11-09,0qg0GJp7HSewRCVPP4fKGk,"Alamo",4A,USLD91725576
91,"Bluebird","Miranda Lambert",61,82,"contemporary country, country, country dawn, country road","Country","Wildcard",2019-11-01,03:29,66,63,4,0,61,0,10,-6,G Major,4,2024-11-09,0kPeZAyIhIfeZNrtfjJGDB,"Vanner Records/RCA Records Label Nashville",9B,US6XF1800265
92,"Wishing Well","Juice WRLD",75,150,"chicago rap, melodic rap, rap","Hip Hop","Legends Never Die",2020-07-10,03:14,65,61,0,0,8,10,20,-6,A Minor,4,2024-11-09,2U5WueTLIK5WJLD7mvDODv,"Grade A Productions/Interscope Records",8A,USUG12001905
93,"Does To Me (feat. Eric Church)","Luke Combs,Eric Church",67,113,"contemporary country, country, country road","Country","What You See Is What You Get",2019-11-08,03:43,62,85,31,0,64,0,30,-5,C Major,4,2024-11-09,0nGXi46VcQQ56ZJR428MKS,"River House Artists/Columbia Nashville",8B,US6XF1700272
94,"P*$$Y Fairy (OTW)","Jhené Aiko",67,128,"r&b","R&B","P*$$Y Fairy (OTW)",2020-01-17,03:01,57,52,54,0,35,20,10,-7,D Minor,4,2024-11-09,48KXAIruJ07kJVCWOGohMV,"Def Jam Recordings",7A,USUM72000367
95,"ily (i love you baby) (feat. Emilee)","Surf Mesa,Emilee",72,112,"pop edm, social media pop","Electronic, Pop","ily (i love you baby) (feat. Emilee)",2019-11-26,02:56,67,77,7,0,33,0,30,-8,B Minor,4,2024-11-09,62aP9fBQKYKxi7PDXwcUAS,"Astralwerks",10A,QZJRC1945204
96,"More Than My Hometown","Morgan Wallen",52,126,"contemporary country","Country","More Than My Hometown",2020-04-17,03:36,62,88,60,0,57,0,10,-5,F#/G♭ Major,4,2024-11-09,0eBXyY4SatzpE7opnzgXvz,"Loud / Republic",2B,QZ22S1800117
97,"Lovin' On You","Luke Combs",67,119,"contemporary country, country","Country","What You See Is What You Get",2019-11-08,03:14,57,95,0,0,53,0,10,-5,E Major,4,2024-11-09,0nYvjcSlCgjcwogQAwIwNp,"River House Artists/Columbia Nashville",12B,US6XF1700261
98,"Said Sum","Moneybagg Yo",63,127,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap","Hip Hop","Code Red",2020-09-18,02:35,93,67,2,0,27,30,10,-7,G#/A♭ Minor,4,2024-11-09,3sKz6Sd72K0ofPWcJPPk6H,"N-Less Entertainment, LLC distributed by Interscope Records. With Epic Records and CMG Enterprises.",1A,USUM72012998
99,"Slide","H.E.R.,YG",56,97,"r&b, rap, cali rap, hip hop, pop rap, southern hip hop, trap","Hip Hop, R&B","Slide",2019-09-27,03:58,83,47,8,0,20,30,20,-9,A#/B♭ Minor,4,2024-11-09,2rTnVB1bvwxHtaIl4uVu7f,"MBK Entertainment/RCA Records",3A,USRC11902505
100,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa,Roddy Ricch",72,84,"memphis hip hop, rap, melodic rap, trap","Hip Hop","Top Shotta",2020-08-07,02:53,87,74,27,0,65,20,0,-5,D Major,4,2024-11-09,1Z0cZI0UzNbP9L8MzzGxqf,"Warner Records",10B,USWB12000247
