#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
24,"WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",75,133,"pop, rap, houston rap, trap queen","Hip Hop, Pop, R&B","WAP (feat. Megan Thee Stallion)",2020-08-07,03:07,94,45,2,0,36,30,0,-8,C♯/D♭ Major,4,2024-11-09,4Oun2ylbjFKMPTiaSbbCih,"Atlantic/KSR",3B,USAT22005111
25,"Ballin' (with Roddy Ricch)","Mustard,Roddy Ricch",72,97,"cali rap, pop rap, rap, southern hip hop, trap, melodic rap","Hip Hop","Perfect Ten",2019-06-28,03:00,81,55,39,0,24,0,10,-7,G Major,4,2024-11-09,3QzAOrNlsabgbMwlZt7TAY,"10 Summers Records/Interscope Records",9B,USUM71911808
26,"hot girl bummer","blackbear",73,130,"alt z, pop","Pop","everything means nothing",2020-08-21,03:08,78,56,13,0,69,0,30,-7,F#/G♭ Minor,1,2024-11-09,6jRq8gaZhMUyy5RclRPcAf,"Alamo",11A,USUG11902959
27,"Blueberry Faygo","Lil Mosey",69,99,"melodic rap, rap conscient","Hip Hop","Blueberry Faygo",2020-02-07,02:42,77,55,21,0,35,0,10,-8,C Major,4,2024-11-09,6wJYhPfqk3KGhHRG76WzOh,"Mogul Vision/Interscope Records",8B,USUM72001714
28,"Heartless","The Weeknd",76,170,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","After Hours",2020-03-20,03:18,54,75,2,0,25,10,10,-6,A#/B♭ Minor,4,2024-11-09,6bnF93Rx87YqUBLSgjiMU8,"Republic Records",3A,USUG11904007
29,"BOP","DaBaby",71,127,"hip hop, north carolina hip hop, pop rap, rap, trap","Hip Hop","KIRK",2019-09-27,02:39,77,79,19,0,84,30,10,-4,B Major,4,2024-11-09,6Ozh9Ok6h4Oi1wUSLtBseN,"South Coast Music Group/Interscope Records",1B,USUM71918972
30,"Lose You To Love Me","Selena Gomez",75,103,"pop, post-teen pop","Pop","Rare",2020-01-10,03:26,52,34,55,0,10,0,20,-9,E Major,4,2024-11-09,4l0Mvzj72xxOpRrp6h8nHi,"Interscope Records",12B,USUM71918727
31,"Good as Hell","Lizzo",67,96,"escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","Cuz I Love You (Super Deluxe)",2019-04-17,02:39,68,92,26,0,54,0,40,-3,C Minor,4,2024-11-09,6KgBpzTuTRPebChN0VTyzV,"Nice Life/Atlantic",5A,USAT21600354
32,"Toosie Slide","Drake",67,82,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Toosie Slide",2020-04-03,04:07,83,45,32,0,84,20,10,-10,C♯/D♭ Minor,4,2024-11-09,127QTOFJsJQp5LbJbu3A1y,"OVO",12A,USUG12001281
33,"Break My Heart","Dua Lipa",73,113,"dance pop, pop, uk pop","Pop","Future Nostalgia",2020-03-27,03:41,73,73,17,0,47,0,30,-3,E Minor,4,2024-11-09,017PF4Q3l4DBUiWoXk4OWT,"Warner Records",9A,GBAHT1901303
34,"Chasin' You","Morgan Wallen",78,97,"contemporary country","Country","If I Know Me",2018-04-27,03:25,63,59,67,0,49,0,10,-6,G Major,4,2024-11-09,0WiyWiJDkNCyGNqkv7NByy,"Big Loud",9B,QZ22S1800006
35,"Savage Love (Laxed - Siren Beat)","Jawsh 685,Jason Derulo",69,150,"nz pop, dance pop, pop","Pop","Savage Love (Laxed - Siren Beat)",2020-06-11,02:51,77,48,23,0,76,0,20,-9,C Minor,4,2024-11-09,1xQ6trAsedVPCdbtDAmk0c,"Columbia",5A,USSM12003798
36,"No Guidance (feat. Drake)","Chris Brown,Drake",75,93,"r&b, rap, canadian hip hop, canadian pop, hip hop, pop rap","Hip Hop, Pop, R&B","Indigo",2019-06-28,04:20,70,45,12,0,14,10,10,-7,C♯/D♭ Minor,4,2024-11-09,6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown Entertainment/RCA Records",12A,USRC11901583
37,"My Oh My (feat. DaBaby)","Camila Cabello,DaBaby",72,105,"dance pop, pop, hip hop, north carolina hip hop, pop rap, rap, trap","Pop, Hip Hop","Romance",2019-12-06,02:50,72,49,2,0,38,0,0,-6,G#/A♭ Major,4,2024-11-09,3yOlyBJuViE2YSGn3nVE1K,"Syco Music/Epic",4B,USSM11914257
38,"Dynamite","BTS",78,114,"k-pop, k-pop boy group, pop","Pop","BE",2020-11-20,03:19,75,77,1,0,74,10,0,-4,F#/G♭ Minor,4,2024-11-09,5QDLhrAOJJdNAmCTJ8xMyW,"BIGHIT MUSIC",11A,QM7282022872
39,"Go Crazy","Chris Brown,Young Thug",71,94,"r&b, rap, atl hip hop, atl trap, gangster rap, hip hop, melodic rap, trap","Hip Hop, R&B","Slime & B",2020-05-08,02:56,76,58,32,0,58,10,20,-9,C Minor,4,2024-11-09,1IIKrJVP1C9N7iPtG6eOsK,"Chris Brown Entertainment/300 Entertainment/RCA Records",5A,USRC12001468
40,"High Fashion (feat. Mustard)","Roddy Ricch,Mustard",68,98,"melodic rap, rap, trap, cali rap, pop rap, southern hip hop","Hip Hop","Please Excuse Me for Being Antisocial",2019-12-06,03:40,83,50,27,0,51,10,30,-8,B Minor,4,2024-11-09,07KXEDMj78x68D884wgVEm,"Atlantic Records",10A,USAT21906985
