#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Levitating","Dua Lipa",74,103,"dance pop, pop, uk pop","Pop","Future Nostalgia",2020-03-27,03:23,70,88,6,0,91,0,20,-2,F#/G♭ Minor,4,2024-11-09,39LLxExYz6ewLAcYrzQQyP,"Warner Records",11A,GBAHT1901299
2,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd,Ariana Grande",75,118,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Save Your Tears (Remix)",2021-04-23,03:11,65,83,2,0,59,0,0,-5,C Major,4,2024-11-09,37BZB0z9T8Xu7U3e65qxFy,"Republic Records",8B,USUG12101839
3,"Blinding Lights","The Weeknd",58,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Blinding Lights",2020-09-11,03:20,52,73,0,0,35,0,0,-6,C♯/D♭ Major,4,2024-11-09,6qYkmqFsXbj8CQjAdbYz07,"Universal Republic Records",3B,USUG11904206
4,"Mood (feat. iann dior)","24kGoldn,iann dior",79,91,"cali rap, pop rap, melodic rap","Hip Hop","El Dorado",2021-03-26,02:20,70,72,17,0,73,0,30,-4,G Minor,4,2024-11-09,4jPy3l0RUwlUI9T5XHBW2m,"Records/Columbia",6A,USQX92003025
5,"good 4 u","Olivia Rodrigo",81,167,"pop","Pop","SOUR",2021-05-21,02:58,56,66,34,0,69,10,0,-5,A Major,4,2024-11-09,4ZtFanR9U6ndgddUvNcjcG,"Olivia Rodrigo PS",11B,USUG12101245
6,"Kiss Me More (feat. SZA)","Doja Cat,SZA",71,111,"dance pop, pop, r&b, rap","Pop, R&B, Hip Hop","Kiss Me More (feat. SZA)",2021-04-09,03:28,76,70,24,0,74,0,10,-4,G#/A♭ Major,4,2024-11-09,748mdHapucXQri7IAO8yFK,"Kemosabe Records/RCA Records",4B,USRC12100543
7,"Leave The Door Open","Bruno Mars,Anderson .Paak,Silk Sonic",69,148,"dance pop, pop, escape room, hip hop, indie soul, neo soul","Pop, Hip Hop, R&B","An Evening With Silk Sonic",2021-11-12,04:02,59,62,18,0,72,0,0,-8,F Major,4,2024-11-09,4pryE6cN2gFL1FVF5fYINl,"Aftermath Entertainment/Atlantic",7B,USAT22100906
8,"drivers license","Olivia Rodrigo",82,144,"pop","Pop","SOUR",2021-05-21,04:02,56,43,77,0,14,0,10,-9,A#/B♭ Major,4,2024-11-09,5wANPM4fQCJwkGd4rN57mH,"Olivia Rodrigo PS",6B,USUG12004749
9,"MONTERO (Call Me By Your Name)","Lil Nas X",68,179,"lgbtq+ hip hop","Hip Hop","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2024-11-09,67BtfxlNbhBmCDR2L2l8qd,"Columbia",1A,USSM12100531
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber,Daniel Caesar,Giveon",78,90,"canadian pop, pop, canadian contemporary r&b, r&b","R&B, Pop","Justice",2021-03-19,03:18,68,70,32,0,46,10,40,-6,C Major,4,2024-11-09,4iJyoBOLtHqaGxP12qzhQI,"RBMG/Def Jam",8B,USUM72102636
11,"Butter","BTS",65,110,"k-pop, k-pop boy group, pop","Pop","Butter (Hotter, Sweeter, Cooler)",2021-06-04,02:44,76,46,0,0,70,0,0,-5,G#/A♭ Major,4,2024-11-09,1mWdTewIgB3gtBM3TOSFhB,"BIGHIT MUSIC",4B,QM6MZ2156864
12,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",78,170,"australian hip hop, canadian pop, pop","Hip Hop, Pop","STAY (with Justin Bieber)",2021-07-09,02:21,59,76,4,0,48,0,10,-5,C♯/D♭ Major,4,2024-11-09,5HCyWlXZPP0y6Gqq8TgA20,"Columbia",3B,USSM12103949
13,"deja vu","Olivia Rodrigo",82,181,"pop","Pop","SOUR",2021-05-21,03:35,44,61,58,0,18,10,30,-7,D Major,4,2024-11-09,6HU7h9RYOaPRFeh0R3UeAr,"Olivia Rodrigo PS",10B,USUG12101240
14,"positions","Ariana Grande",78,144,"pop","Pop","Positions",2020-10-30,02:52,74,80,47,0,68,0,0,-5,C Major,4,2024-11-09,35mvY5S1H3J2QZyna3TFe0,"Republic Records",8B,USUM72019412
15,"Bad Habits","Ed Sheeran",79,126,"pop, singer-songwriter pop, uk pop","Pop","=",2021-10-25,03:50,81,89,5,0,54,0,30,-4,B Minor,4,2024-11-09,3rmo8F54jFF8OgYsqTxm5d,"Atlantic Records UK",10A,GBAHS2100318
16,"Heat Waves","Glass Animals",84,81,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland",2020-08-07,03:58,76,53,44,0,53,0,0,-7,B Major,4,2024-11-09,3USxtqRwSYz57Ewm6wWRMp,"Polydor Records",1B,GBUM72000433
17,"WITHOUT YOU","The Kid LAROI",73,93,"australian hip hop","Hip Hop","F*CK LOVE 3+: OVER YOU",2021-07-27,02:41,66,41,21,0,47,0,10,-7,C Major,4,2024-11-09,1KMkcUvF7m3SDChDOa7i5L,"Columbia",8B,USSM12006586
