#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X,Billy Ray Cyrus",71,136,"lgbtq+ hip hop, country rock","Rock, Hip Hop","7",2019-06-21,02:37,88,62,5,0,64,10,10,-6,F#/G♭ Major,4,2024-11-06,2YpeDb67231RjR0MgVLzsG,"Columbia",2B,USSM11902498
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",79,90,"dfw rap, melodic rap, pop, rap, trap","Hip Hop, Pop","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,02:38,76,48,55,0,91,0,0,-6,D Major,4,2024-11-06,3KkXRkHbMCARz0aVfEt68P,"Universal Records",10B,USUM71814888
3,"Without Me","Halsey",69,136,"electropop, etherpop, indie poptimism, pop","Pop","Without Me",2018-10-04,03:21,75,49,30,0,53,0,0,-7,F#/G♭ Major,4,2024-11-06,5p7ujcrUXASCNwRaWNHR1C,"Capitol Records",2B,USUM71813499
4,"bad guy","Billie Eilish",81,135,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:14,70,43,33,13,56,30,10,-11,G Major,4,2024-11-06,2Fxmhks0bxGSBdJ92vM42m,"Darkroom/Interscope Records",9B,USUM71900764
5,"Wow.","Post Malone",76,100,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,02:29,83,54,14,0,39,20,10,-7,B Minor,4,2024-11-06,7xQAfvXzm3AkraOtGPWIZg,"Republic Records",10A,USUM71822626
6,"Happier","Marshmello,Bastille",81,100,"brostep, edm, pop, progressive electro house, metropopolis, modern rock","Electronic, Rock, Pop","Happier",2018-08-17,03:34,69,79,19,0,67,0,10,-3,F Major,4,2024-11-06,7BqHUALzNBTanL6OvsqmC1,"Joytime Collective",7B,USUG11801651
7,"7 rings","Ariana Grande",81,140,"pop","Pop","thank u, next",2019-02-08,02:58,78,32,59,0,33,30,0,-11,C♯/D♭ Minor,4,2024-11-06,6ocbgoVGwYJhOv1GgI9NsF,"Republic Records",12A,USUM71900110
8,"Talk","Khalid,Disclosure",61,136,"pop, pop r&b, edm, house, indietronica, uk dance","Electronic, Pop, R&B","Talk",2019-02-07,03:17,90,40,5,0,34,10,0,-8,C Major,4,2024-11-06,0rTV5WefWd1J3OwIheTzxM,"Right Hand Music Group, LLC/RCA Records",8B,USRC11900004
9,"SICKO MODE","Travis Scott",80,155,"rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,05:12,83,73,1,0,45,20,10,-4,G#/A♭ Major,4,2024-11-06,2xLMifQCjDGFmkHkpNLD9h,"Cactus Jack / Epic",4B,USSM11806660
10,"Sucker","Jonas Brothers",76,138,"boy band, pop","Pop","Happiness Begins",2019-06-07,03:01,84,73,4,0,95,0,10,-5,C♯/D♭ Minor,4,2024-11-06,22vgEDb5hykfaTwLuskFGD,"Jonas Brothers Recording",12A,USUG11900515
