#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"High Hopes","Panic! At The Disco",79,82,"pop","Pop","Pray for the Wicked",2018-06-22,03:10,58,90,19,0,68,0,0,-3,F Major,4,2024-11-06,1rqqCSm0Qe4I9rUvWncaom,"DCD2 / Fueled By Ramen",7B,USAT21801174
12,"thank u, next","Ariana Grande",78,107,"pop","Pop","thank u, next",2019-02-08,03:27,72,65,23,0,41,0,10,-6,C♯/D♭ Major,4,2024-11-06,3e9HZxeyfWwjeyPAMmWSSQ,"Republic Records",3B,USUM71819361
13,"Truth Hurts","Lizzo",67,158,"escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","Cuz I Love You (Super Deluxe)",2019-04-19,02:53,72,62,11,0,41,10,10,-3,E Minor,4,2024-11-06,3HWzoMvoF3TQfYg4UPszDq,"Nice Life/Atlantic",9A,USAT21703896
14,"Dancing With A Stranger","Sam Smith,Normani",45,103,"pop, uk pop, r&b","Pop, R&B","DANCE",2020-07-17,02:51,74,52,45,0,35,0,20,-8,G#/A♭ Major,4,2024-11-06,0M3SSf9YPVfQFbhATCIlfm,"UME - Global Clearing House",4B,GBUM71807386
15,"Señorita","Shawn Mendes,Camila Cabello",74,117,"canadian pop, pop, viral pop, dance pop","Pop","Señorita",2019-06-21,03:10,76,54,4,0,75,0,0,-6,A Minor,4,2024-11-06,0TK2YIli7K1leLovkQiNik,"Island Records",8A,USUM71911283
16,"I Don't Care (with Justin Bieber)","Ed Sheeran,Justin Bieber",72,102,"pop, singer-songwriter pop, uk pop, canadian pop","Pop","I Don't Care (with Justin Bieber)",2019-05-10,03:39,80,68,9,0,84,0,0,-5,F#/G♭ Major,4,2024-11-06,3HVWdVOQ0ZA45FuZGSfvns,"Atlantic Records UK",2B,GBAHS1900672
17,"Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",70,89,"pop, electropop, etherpop, indie poptimism, pop r&b","Pop, R&B","Eastside (with Halsey & Khalid)",2018-07-12,02:53,56,68,56,0,32,30,10,-8,F#/G♭ Minor,4,2024-11-06,0d2iYfpKoM0QCKvcLCkBao,"Benny Blanco Solo Album PS",11A,USUM71809132
18,"Going Bad (feat. Drake)","Meek Mill,Drake",75,86,"hip hop, philly rap, pop rap, rap, southern hip hop, trap, canadian hip hop, canadian pop","Hip Hop, Pop","Championships",2018-11-30,03:00,89,50,26,0,54,0,20,-6,E Minor,4,2024-11-06,2IRZnDFmlqMuOrYOLnZZyc,"MMG/Atlantic",9A,USAT21812710
19,"Shallow","Lady Gaga,Bradley Cooper",82,96,"art pop, dance pop, pop, hollywood","Pop, Easy listening","A Star Is Born Soundtrack",2018-10-05,03:35,58,39,37,0,33,0,20,-6,G Major,4,2024-11-06,2VxeLyX666F8uXCJ0dZF8B,"A Star is Born OST",9B,USUM71813192
20,"Better","Khalid",63,98,"pop, pop r&b","Pop, R&B","Better",2018-09-14,03:49,44,59,10,39,12,10,10,-10,C Minor,4,2024-11-06,4T3fNx3CgwDRRYgmFCbD4J,"Right Hand Music Group, LLC/RCA Records",5A,USRC11803179
21,"No Guidance (feat. Drake)","Chris Brown,Drake",75,93,"r&b, rap, canadian hip hop, canadian pop, hip hop, pop rap","Hip Hop, Pop, R&B","Indigo",2019-06-28,04:20,70,45,12,0,14,10,10,-7,C♯/D♭ Minor,4,2024-11-06,6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown Entertainment/RCA Records",12A,USRC11901583
22,"Girls Like You","Maroon 5",67,60,"pop","Pop","Red Pill Blues (Deluxe)",2018-06-15,03:35,60,46,56,0,38,0,10,-7,C Major,4,2024-11-06,7npLlaPu9Mfno8hjk5OagD,"Interscope Records*",8B,USUM71710831
23,"Sweet but Psycho","Ava Max",81,133,"pop","Pop","Heaven & Hell",2020-09-18,03:07,72,71,7,0,62,0,10,-5,C♯/D♭ Major,4,2024-11-06,7DnAm9FOTWE3cUvso43HhI,"Atlantic Records",3B,USAT21802011
24,"Suge","DaBaby",65,75,"hip hop, north carolina hip hop, pop rap, rap, trap","Hip Hop","Baby On Baby",2019-03-01,02:43,88,66,6,0,84,40,10,-6,D Minor,4,2024-11-06,2gwkD6igEhQbDQegRCcdoB,"South Coast Music Group/Interscope Records",7A,USUM71902966
25,"MIDDLE CHILD","J. Cole",77,124,"conscious hip hop, hip hop, north carolina hip hop, rap","Hip Hop","MIDDLE CHILD",2019-01-23,03:33,84,36,15,0,46,20,20,-12,G#/A♭ Major,4,2024-11-06,2JvzF1RMd7lE3KmFlsyZD8,"Dreamville, Inc., Under exclusive license to Roc Nation Records",4B,QMJMT1902056
26,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby,Gunna",78,113,"atl hip hop, atl trap, rap, trap, melodic rap","Hip Hop","Drip Harder",2018-10-05,02:25,90,66,9,0,39,20,50,-7,C♯/D♭ Minor,4,2024-11-06,78QR3Wp35dqAhFEc2qAGjE,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",12A,USUG11801811
27,"Someone You Loved","Lewis Capaldi",85,110,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭ Major,4,2024-11-06,7qEHsqek33rTcFNT9PFqLf,"Vertigo Berlin",3B,DEUM71807062
28,"Ransom","Lil Tecca",83,180,"melodic rap, pluggnb, rap","Hip Hop","We Love You Tecca",2019-08-30,02:11,75,64,2,0,23,20,0,-6,G Minor,4,2024-11-06,1lOe9qE0vR9zwWQAOk6CoO,"Republic Records",6A,QZ85M1940160
29,"If I Can't Have You","Shawn Mendes",71,124,"canadian pop, pop, viral pop","Pop","Shawn Mendes (Deluxe)",2019-06-19,03:11,69,82,49,0,87,0,10,-4,D Major,4,2024-11-06,2bT1PH7Cw3J9p3t7nlXCdh,"Island Records",10B,USUM71907349
30,"Goodbyes (feat. Young Thug)","Post Malone,Young Thug",74,150,"dfw rap, melodic rap, pop, rap, atl hip hop, atl trap, gangster rap, hip hop, trap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,02:54,55,65,46,0,16,0,10,-4,F Major,4,2024-11-06,0t3ZvGKlmYmVsDzBJAXK8C,"Republic Records",7B,USUM71912330
31,"ZEZE","Rocky Camino,Niiko",0,103,"","","ZEZE",2022-09-03,02:48,95,77,20,0,37,20,0,-3,C♯/D♭ Major,4,2024-11-06,3fYuh97tPtdWt7bVfY9CSI,"Splash Records",3B,QZNWT2271108
32,"Better Now","Post Malone",77,145,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","beerbongs & bentleys",2018-04-27,03:51,67,58,33,0,34,0,10,-6,A#/B♭ Major,4,2024-11-06,7dt6x5M1jzdTEt8oCbisTK,"Republic Records",6B,USUM71805170
33,"Youngblood","5 Seconds of Summer",78,120,"boy band, pop","Pop","Youngblood (Deluxe)",2018-06-15,03:23,60,85,2,0,15,40,10,-5,G Minor,4,2024-11-06,2iUXsYOEPhVqEBwsqP70rE,"Capitol",6A,GBUM71800366
34,"Money In The Grave (Drake ft. Rick Ross)","Drake,Rick Ross",73,101,"canadian hip hop, canadian pop, hip hop, pop rap, rap, dirty south rap, gangster rap, southern hip hop, trap","Hip Hop, Pop","The Best In The World Pack",2019-06-15,03:25,83,50,10,0,10,0,10,-4,A#/B♭ Minor,4,2024-11-06,5ry2OE6R2zPQFDO85XkgRb,"Republic Records",3A,USCM51900318
35,"Speechless","Dan + Shay",65,136,"contemporary country, country, country road","Country","Dan + Shay",2018-06-22,03:33,62,44,36,0,39,0,20,-6,C♯/D♭ Major,4,2024-11-06,3GJ4hzg4lrGwU51Y3VARbF,"Warner Records",3B,USWB11800928
36,"break up with your girlfriend, i'm bored","Ariana Grande",72,170,"pop","Pop","thank u, next",2019-02-08,03:10,73,55,4,0,34,0,10,-5,F Minor,4,2024-11-06,4kV4N9D1iKVxx1KLvtTpjS,"Republic Records",4A,USUM71900409
37,"Please Me","Cardi B,Bruno Mars",76,134,"pop, rap, dance pop","Pop, Hip Hop","Please Me",2019-02-15,03:20,75,57,6,0,65,0,0,-7,C♯/D♭ Major,4,2024-11-06,0PG9fbaaHFHfre2gUVo7AN,"Atlantic/KSR",3B,USAT21811659
38,"Money","Cardi B",67,130,"pop, rap","Pop, Hip Hop","Money",2018-10-23,03:03,95,59,1,0,22,20,10,-7,G#/A♭ Minor,4,2024-11-06,2GGMabyHXnJmjY6CXhhB2e,"Atlantic/KSR",1A,USAT21811495
39,"You Need To Calm Down","Taylor Swift",76,85,"pop","Pop","Lover",2019-08-23,02:51,77,67,1,0,71,0,0,-6,D Major,4,2024-11-06,6RRNNciQGZEXnqk8SQ9yv5,"Taylor Swift",10B,USUG11901470
40,"Panini","Lil Nas X",64,154,"lgbtq+ hip hop","Hip Hop","Panini",2019-09-13,01:54,70,59,34,0,48,0,10,-6,F Minor,4,2024-11-06,1000nHvUdawXuUHgBod4Wv,"Columbia",4A,USSM11903948
41,"Look Back at It","A Boogie Wit da Hoodie",73,96,"melodic rap, rap, trap","Hip Hop","Hoodie SZN",2018-12-21,02:59,79,59,41,0,54,0,10,-5,D#/E♭ Minor,4,2024-11-06,3Ol2xnObFdKV9pmRD2t9x8,"Highbridge the Label / Atlantic Records",2A,USAT21812667
42,"a lot","21 Savage",76,146,"atl hip hop, hip hop, rap","Hip Hop","i am > i was",2018-12-21,04:48,84,64,4,0,27,0,30,-8,C♯/D♭ Major,4,2024-11-06,2t8yVaLvJ0RenpXUIAC52d,"Slaughter Gang, LLC/Epic Records",3B,QZ45A1700126
43,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift,Brendon Urie,Panic! At The Disco",72,182,"pop","Pop","Lover",2019-08-23,03:13,61,83,3,0,73,0,10,-4,C Major,4,2024-11-06,2Rk4JlNc2TPmZe2af99d45,"Taylor Swift",8B,USUG11901494
44,"MIA (feat. Drake)","Bad Bunny,Drake",61,97,"reggaeton, trap latino, urbano latino, canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop, Latin","MIA (feat. Drake)",2018-10-11,03:30,82,54,1,0,16,0,10,-6,F#/G♭ Minor,4,2024-11-06,3Ueq2zboxwAbsvHrOjdEqz,"OVO Sound",11A,USWB11802236
45,"Pop Out (feat. Lil Tjay)","Polo G,Lil Tjay",73,168,"chicago rap, rap, brooklyn drill, melodic rap, nyc rap","Hip Hop","Die A Legend",2019-06-07,02:46,77,64,15,0,26,40,0,-7,C♯/D♭ Major,4,2024-11-06,6uFn47ACjqYkc0jADwEdj1,"Columbia",3B,USQX91900309
46,"Beautiful Crazy","Luke Combs",80,103,"contemporary country, country","Country","This One's for You Too (Deluxe Edition)",2018-06-01,03:13,55,40,68,0,38,0,0,-7,B Major,4,2024-11-06,2rxQMGVafnNaRaXlRMWPde,"River House Artists/Columbia Nashville",1B,US6XF1700259
47,"Thotiana","Blueface",60,104,"cali rap, rap, trap","Hip Hop","Famous Cryp",2018-12-18,02:09,91,38,18,0,39,20,10,-13,A#/B♭ Minor,4,2024-11-07,1rBjexQsgqXpsS2BrCxaDX,"Fifth Amendment Entertainment/eOne Music",3A,QZDA51839408
48,"Lucid Dreams","Juice WRLD",81,84,"chicago rap, melodic rap, rap","Hip Hop","Goodbye & Good Riddance",2018-12-10,03:59,51,57,35,0,22,20,30,-7,F#/G♭ Minor,4,2024-11-07,285pBltuF7vW8TeWk8hdRR,"Juice WRLD Mixtape / ISR P&D",11A,USUG11800685
49,"Mo Bamba","Sheck Wes",74,146,"pop rap, rap, trap","Hip Hop","MUDBOY",2018-10-05,03:03,73,63,19,1,26,0,20,-5,E Major,4,2024-11-07,1xzBco0xcoJEDXktl7Jxrr,"Cactus Jack Records/ G.O.O.D. Music/ Interscope Records",12B,QM24S1703585
50,"Beautiful People (feat. Khalid)","Ed Sheeran,Khalid",67,93,"pop, singer-songwriter pop, uk pop, pop r&b","Pop, R&B","Beautiful People (feat. Khalid)",2019-06-28,03:17,64,65,12,0,55,10,0,-8,F Minor,4,2024-11-07,4evmHXcjt3bTUHD1cvny97,"Atlantic Records UK",4A,GBAHS1900885
51,"Wake Up in the Sky","Gucci Mane,Bruno Mars,Kodak Black",70,143,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap, dance pop, pop, florida drill, florida rap, melodic rap, miami hip hop, trap latino","Hip Hop, Pop, Latin","Wake Up in the Sky",2018-09-14,03:24,80,58,0,0,37,0,30,-5,E Minor,4,2024-11-07,0QIjsbm2fh1cJ45XO9eGqq,"Guwop Enterprises/Atlantic",9A,USAT21811087
52,"Whiskey Glasses","Morgan Wallen",78,150,"contemporary country","Country","If I Know Me",2018-04-27,03:54,62,68,36,0,69,0,10,-5,F#/G♭ Major,4,2024-11-07,57TEkZN3f84tFJFHFrD4pO,"Big Loud",2B,QZ22S1500059
53,"God's Country","Blake Shelton",64,140,"classic oklahoma country, contemporary country, country, country road","Country","God's Country",2019-03-29,03:25,54,75,6,0,22,0,10,-5,A#/B♭ Major,4,2024-11-07,1dyxS3YzBbL0t8rEVwVQ1K,"Warner Records",6B,USWB11900819
54,"Be Alright","Dean Lewis",73,127,"australian pop, pop","Pop","Be Alright",2018-06-29,03:16,55,59,70,0,44,0,0,-6,B Major,4,2024-11-07,3EPXxR3ImUwfayaurPi3cm,"Universal Music Australia Pty. Ltd.",1B,AUUM71800255
55,"Pure Water (with Migos)","Mustard,Migos",71,202,"cali rap, pop rap, rap, southern hip hop, trap, atl hip hop, hip hop","Hip Hop","Perfect Ten",2019-06-28,03:12,68,56,18,0,14,10,30,-6,C Major,4,2024-11-07,3j84U36KvLeXNDPv4t5pI8,"10 Summers Records/Interscope Records",8B,USUM71823137
56,"The Git Up","Blanco Brown",64,98,"black americana, country rap","Country, Hip Hop","Honeysuckle & Lightning Bugs",2019-10-10,03:20,85,68,7,0,81,10,20,-9,A Major,4,2024-11-07,01tA4XmJ4fGQNwti6b2hPm,"Broken Bow Records",11B,QZEPT1900040
57,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",70,96,"dance pop, edm, electronic trap, pop, pop dance, post-teen pop, puerto rican pop, reggaeton, trap latino, urbano latino, rap","Pop, Electronic, Hip Hop, Latin","Carte Blanche",2019-07-25,03:32,84,80,16,0,62,20,0,-4,C♯/D♭ Minor,4,2024-11-07,0KoiMHhqKLoL4xM54rcWYY,"DJ Snake Music Productions Limited",12A,USUG11802029
58,"Close To Me","Ellie Goulding,Diplo,Swae Lee",60,144,"indietronica, metropopolis, pop, uk pop, dance pop, edm, electro house, moombahton, pop dance, melodic rap, rap, trap","Pop, Electronic, Hip Hop","Brightest Blue",2020-07-17,03:02,57,75,9,0,48,0,30,-5,C♯/D♭ Minor,4,2024-11-07,2GjMaJ7DacMIkgoe8oMXGg,"Polydor Records",12A,GBUM71805350
59,"Envy Me","Calboy",60,149,"chicago rap, melodic rap","Hip Hop","Wildboy",2019-05-31,02:00,74,49,23,0,58,20,20,-8,C♯/D♭ Minor,4,2024-11-07,7rvyVWja33WG9R97oeJAjx,"Polo Grounds Music/RCA Records",12A,USHM91813257
60,"You Say","Lauren Daigle",71,148,"ccm, christian alternative rock, christian music","Pop, Rock","Look Up Child",2018-09-07,04:34,49,63,68,0,8,0,0,-7,F Major,4,2024-11-09,6Up545NUflOiXo8cEraH49,"Centricity Music/Warner Records",7B,US8391800158
61,"Hey Look Ma, I Made It","Panic! At The Disco",63,108,"pop","Pop","Pray for the Wicked",2018-06-22,02:49,58,83,1,0,58,0,10,-3,F Major,4,2024-11-07,22oEJW6r2rMb9z4IntfyEa,"DCD2 / Fueled By Ramen",7B,USAT21801173
62,"Circles","Post Malone",83,120,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding",2019-09-06,03:35,70,76,19,0,55,0,0,-3,C Major,4,2024-11-07,21jGcNKet2qwijlDFuPiPb,"Republic Records",8B,USUM71915699
63,"Beer Never Broke My Heart","Luke Combs",77,77,"contemporary country, country","Country","What You See Is What You Get",2019-11-08,03:06,54,86,1,0,64,0,0,-4,C♯/D♭ Major,4,2024-11-07,7aEtlGHoiPAfRB084NiDmx,"River House Artists/Columbia Nashville",3B,US6XF1700264
64,"The London (feat. J. Cole & Travis Scott)","Young Thug,J. Cole,Travis Scott",62,98,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap, conscious hip hop, north carolina hip hop, slap house","Hip Hop, Electronic","The London (feat. J. Cole & Travis Scott)",2019-05-23,03:20,80,59,2,0,18,10,10,-7,E Minor,4,2024-11-07,7DcvwMAiqKJQD1rrdfxSDx,"300 Entertainment/Atl",9A,USAT21903320
65,"Con Calma","Daddy Yankee,Snow",75,94,"latin hip hop, reggaeton, trap latino, urbano latino, canadian old school hip hop, reggae fusion","Hip Hop, Pop, Latin","Con Calma",2019-01-24,03:13,74,86,11,0,66,0,0,-3,G#/A♭ Minor,4,2024-11-07,5w9c2J52mkdntKOmRLeM2m,"El Cartel Records (EC3)",1A,US2BU1900125
66,"Murder on My Mind","YNW Melly",74,115,"melodic rap, rap","Hip Hop","I AM YOU",2018-08-03,04:28,76,73,14,0,74,0,10,-8,C Minor,4,2024-11-07,7eBqSVxrzQZtK2mmgRG6lC,"P2018",5A,QMCE31801827
67,"when the party's over","Billie Eilish",83,83,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:16,37,11,98,0,20,10,0,-14,E Major,4,2024-11-07,43zdsphuZLzwA9k4DJhU0I,"Darkroom/Interscope Records",12B,USUM71815958
68,"Act Up","City Girls",62,97,"scam rap, trap queen","Hip Hop, R&B","Girl Code",2018-11-16,02:38,94,64,2,0,31,10,10,-5,G#/A♭ Major,4,2024-11-07,3A2yGHWIzmGEIolwonU69h,"Quality Control Music/Motown Records",4B,USUG11802247
69,"I Like It","Cardi B,Bad Bunny,J Balvin",74,136,"pop, rap, reggaeton, trap latino, urbano latino, reggaeton colombiano","Pop, Hip Hop, Latin","Invasion of Privacy",2018-04-06,04:13,82,73,10,0,65,10,30,-4,F Minor,4,2024-11-07,58q2HKrzhC3ozto2nDdN4z,"Atlantic/KSR",4A,USAT21801431
70,"Trampoline","SHAED",57,127,"electropop","Pop","MELT",2018-09-21,03:04,69,41,49,0,54,0,0,-8,G Minor,4,2024-11-07,0lsRatBUs9HNIZAmoGABzk,"Photo Finish Records",6A,QZ47A1800201
71,"Leave Me Alone","Flipp Dinero",67,150,"melodic rap, trap","Hip Hop","LOVE FOR GUALA",2019-11-22,03:15,79,74,11,0,74,0,10,-3,G Major,4,2024-11-07,6V7g6qM8wheMivMWrzbPTM,"Cinematic/Epic/We The Best",9B,QMKSC1800039
72,"breathin","Ariana Grande",67,100,"pop","Pop","Sweetener",2018-08-17,03:18,57,66,2,0,36,0,20,-5,G#/A♭ Major,4,2024-11-07,4OafepJy2teCjYJbvFE60J,"Republic Records",4B,USUM71808582
73,"bury a friend","Billie Eilish",74,120,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:13,91,39,74,16,20,30,10,-15,G#/A♭ Major,4,2024-11-07,4SSnFejRGlZikf02HLewEF,"Darkroom/Interscope Records",4B,USUM71900770
74,"Close Friends (Lil Baby & Gunna)","Lil Baby",69,159,"atl hip hop, atl trap, rap, trap","Hip Hop","Drip Harder",2018-10-05,03:23,67,58,5,0,70,30,0,-5,A#/B♭ Minor,4,2024-11-07,5nzhL67GpF9szXWg5y509A,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",3A,USUG11801853
75,"Baby Shark","Pinkfong",74,115,"cartoon, children's music, dong-yo","Easy listening, Folk/Acoustic","Pinkfong Animal Songs",2017-07-27,01:20,83,89,26,0,78,10,0,-2,G#/A♭ Major,4,2024-11-07,5ygDXis42ncn6kYG14lEVG,"Smart Study Co., Ltd.",4B,KRE671700001
76,"My Type","Saweetie",70,105,"cali rap, trap queen","Hip Hop, R&B","ICY",2019-03-29,02:06,90,81,0,0,59,20,0,-6,D Major,4,2024-11-07,5KBARWIxeMGkvUax9VtVC9,"ICY/Artistry Records/Warner Records",10B,USWB11900833
77,"Worth It","YK Osiris",59,124,"melodic rap, trap","Hip Hop","Worth It",2019-02-08,03:09,76,53,47,0,42,0,0,-4,F Minor,5,2024-11-07,4XiGKQqbmnMVxDzUj6j3f2,"Def Jam Recordings",4A,USUM71821752
78,"Only Human","Jonas Brothers",68,94,"boy band, pop","Pop","Happiness Begins",2019-06-07,03:03,80,50,11,0,87,0,0,-6,C Major,4,2024-11-07,0DiDStADDVh3SvAsoJAFMk,"Jonas Brothers Recording",8B,USUG11901281
79,"Knockin' Boots","Luke Bryan",67,132,"contemporary country, country, country road, modern country rock","Country, Rock","Born Here Live Here Die Here",2020-08-07,03:20,73,68,13,0,64,20,30,-4,D Major,4,2024-11-07,2opQESZb7JsRKCvWMBPeuv,"Capitol Records Nashville",10B,USUG11901024
80,"Trip","Ella Mai",71,80,"r&b, rap, uk contemporary r&b, urban contemporary","R&B, Hip Hop","Ella Mai",2018-10-12,03:33,48,61,22,0,36,10,10,-6,B Minor,4,2024-11-07,6CTWathupIiDs7U4InHnDA,"10 Summers / Interscope PS",10A,USUM71810720
81,"Rumor","Lee Brice",74,141,"contemporary country, country, country road, modern country rock","Country, Rock","Lee Brice",2017-11-03,03:18,66,56,75,0,60,0,10,-7,A Major,4,2024-11-07,56eGOeSsqdg3FLxdo83TwV,"Curb Records",11B,USCRB1713686
82,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie,6ix9ine",68,93,"melodic rap, rap, trap, emo rap","Hip Hop","Hoodie SZN",2018-12-21,03:09,58,66,2,0,43,30,10,-5,A Major,4,2024-11-07,1wJRveJZLSb1rjhnUHQiv6,"Highbridge the Label / Atlantic Records",11B,USAT21812918
83,"How Do You Sleep?","Sam Smith",65,166,"pop, uk pop","Pop","How Do You Sleep?",2019-07-19,03:22,56,68,15,0,36,0,0,-5,C♯/D♭ Minor,4,2024-11-07,6b2RcmUt1g9N9mQ3CbjX2Y,"PLG - Capitol",12A,GBUM71902381
84,"Baby (Lil Baby feat. DaBaby)","Quality Control,Lil Baby,DaBaby",71,108,"melodic rap, trap, atl hip hop, atl trap, rap, hip hop, north carolina hip hop, pop rap","Hip Hop","Quality Control: Control The Streets Volume 2",2019-08-16,02:22,97,46,10,0,46,30,10,-7,A#/B♭ Major,4,2024-11-07,5MPPttjfGap2C6j6eKcO6J,"Quality Control Music/Motown Records",6B,USUG11900748
85,"Look What God Gave Her","Thomas Rhett",64,113,"contemporary country, country, country road, modern country rock","Country, Rock","Center Point Road",2019-05-31,02:48,74,85,3,0,88,0,10,-4,D Major,4,2024-11-07,2KqJC0koTBUyDlsMt5ok1V,"The Valory Music Co.",10B,USLXJ1907459
86,"Good as You","Kane Brown",59,154,"black americana, contemporary country, country, country road","Country","Experiment Extended",2019-11-01,03:12,63,52,40,0,77,0,10,-6,G#/A♭ Major,4,2024-11-07,19kUPdKTp85q9RZNwaXM15,"RCA Records Label Nashville",4B,USRN11800115
87,"Clout (feat. Cardi B)","Offset,Cardi B",62,140,"atl hip hop, hip hop, pop rap, rap, trap, pop","Hip Hop, Pop","FATHER OF 4",2019-02-22,03:25,92,62,23,0,42,10,10,-7,C♯/D♭ Major,4,2024-11-07,59ywHNwwchG4nZJMLyxSzd,"Quality Control Music/Motown Records",3B,USUG11802308
88,"Love Lies (with Normani)","Khalid,Normani",71,144,"pop, pop r&b, r&b","Pop, R&B","Love Lies (with Normani)",2018-02-14,03:21,71,65,10,0,34,0,10,-6,F#/G♭ Major,4,2024-11-07,45Egmo7icyopuzJN0oMEdk,"RCA Records Label",2B,USRC11703646
89,"One Thing Right","Marshmello,Kane Brown",74,88,"brostep, edm, pop, progressive electro house, black americana, contemporary country, country, country road","Country, Electronic, Pop","One Thing Right",2019-06-21,03:01,66,63,6,0,44,0,50,-2,E Major,4,2024-11-07,7gZXCjAy6nxKCQWLEeX4LZ,"Joytime Collective",12B,US6XF1800275
